市町村名,2017年_総人口,2018年_総人口,2019年_総人口,2020年_総人口,2021年_総人口,2022年_総人口,2023年_総人口,2024年_総人口,2025年_総人口,2017年_男,2018年_男,2019年_男,2020年_男,2021年_男,2022年_男,2023年_男,2024年_男,2025年_男,2017年_女,2018年_女,2019年_女,2020年_女,2021年_女,2022年_女,2023年_女,2024年_女,2025年_女
長野市,375910,374395,371920,369764,372470,370081,367198,363986,361045,182176,181303,180101,179261,181191,180102,178800,177362,176066,193734,193092,191819,190503,191279,189979,188398,186624,184979
松本市,242708,241779,241074,240178,240864,239862,239342,238369,237005,119249,118797,118390,118023,118157,117721,117433,117063,116324,123459,122982,122684,122155,122707,122141,121909,121306,120681
上田市,156329,155595,155169,153868,153924,152944,151836,150813,149869,76560,76262,76067,75375,75314,74862,74378,73975,73483,79769,79333,79102,78493,78610,78082,77458,76838,76386
岡谷市,49652,49201,48652,48210,47657,46930,46524,45872,45301,24071,23855,23663,23449,23150,22802,22586,22323,22054,25581,25346,24989,24761,24507,24128,23938,23549,23247
飯田市,100827,99952,99174,98014,97987,96838,95724,94659,93397,48145,47767,47501,47045,47208,46723,46233,45798,45238,52682,52185,51673,50969,50779,50115,49491,48861,48159
諏訪市,49644,49376,49043,48661,48669,48113,47862,47481,47032,24193,24079,23969,23834,23797,23537,23461,23242,23019,25451,25297,25074,24827,24872,24576,24401,24239,24013
須坂市,50468,50225,49937,49616,49544,49262,48978,48782,48350,24654,24571,24516,24382,24323,24166,23984,23928,23753,25814,25654,25421,25234,25221,25096,24994,24854,24597
小諸市,42105,41802,41625,41381,41013,40788,40645,40547,40274,20401,20277,20216,20121,19948,19871,19804,19777,19662,21704,21525,21409,21260,21065,20917,20841,20770,20612
伊那市,67810,67404,67058,66477,65932,65376,64868,64211,63758,33222,33007,32915,32634,32323,32072,31801,31463,31285,34588,34397,34143,33843,33609,33304,33067,32748,32473
駒ヶ根市,32608,32471,32237,32145,32176,31942,31650,31421,31092,15920,15866,15755,15727,15721,15630,15491,15433,15294,16688,16605,16482,16418,16455,16312,16159,15988,15798
中野市,43434,43057,42756,42425,42253,41755,41309,40868,40447,20966,20794,20673,20536,20501,20313,20106,19882,19632,22468,22263,22083,21889,21752,21442,21203,20986,20815
大町市,27551,27119,26747,26320,25998,25550,25212,24806,24426,13366,13170,12962,12757,12572,12363,12185,12010,11854,14185,13949,13785,13563,13426,13187,13027,12796,12572
飯山市,20860,20501,20126,19763,19468,19194,18839,18350,17946,10116,9938,9751,9600,9465,9339,9177,8955,8741,10744,10563,10375,10163,10003,9855,9662,9395,9205
茅野市,55848,55857,55764,55423,56337,56116,55657,55290,55078,27844,27864,27846,27737,28199,28103,27876,27795,27646,28004,27993,27918,27686,28138,28013,27781,27495,27432
塩尻市,67056,66977,66894,66545,67199,66787,66578,66088,65668,33389,33353,33379,33198,33562,33399,33340,33140,32987,33667,33624,33515,33347,33637,33388,33238,32948,32681
佐久市,99172,99018,98895,98601,98145,97918,97671,97159,96856,48326,48255,48246,48150,48031,47960,47832,47608,47400,50846,50763,50649,50451,50114,49958,49839,49551,49456
千曲市,60033,59698,59453,59100,58774,58508,58202,57846,57525,29039,28899,28759,28633,28368,28199,28076,27944,27716,30994,30799,30694,30467,30406,30309,30126,29902,29809
東御市,29885,29713,29559,29382,30085,29801,29662,29360,29055,14678,14628,14530,14477,14759,14651,14578,14468,14339,15207,15085,15029,14905,15326,15150,15084,14892,14716
安曇野市,94979,94934,94673,94372,94087,93690,93534,93179,92801,45670,45701,45557,45403,45360,45175,45092,44945,44740,49309,49233,49116,48969,48727,48515,48442,48234,48061
小海町,4539,4497,4431,4357,4317,4228,4143,4061,4010,2178,2167,2140,2110,2119,2089,2038,2001,1974,2361,2330,2291,2247,2198,2139,2105,2060,2036
佐久穂町,10898,10697,10473,10281,10215,10063,9949,9757,9640,5247,5150,5069,4967,4969,4901,4863,4762,4709,5651,5547,5404,5314,5246,5162,5086,4995,4931
川上村,3925,3900,3850,3861,3837,3734,3694,3627,3518,2086,2083,2079,2119,2109,2049,2042,2016,1951,1839,1817,1771,1742,1728,1685,1652,1611,1567
南牧村,3098,3071,3025,3013,3086,2987,2959,2941,2900,1564,1559,1534,1556,1650,1568,1565,1558,1555,1534,1512,1491,1457,1436,1419,1394,1383,1345
南相木村,986,963,936,909,958,931,928,893,888,467,466,452,443,470,450,451,437,437,519,497,484,466,488,481,477,456,451
北相木村,768,750,750,727,738,711,696,683,669,376,372,371,356,366,353,353,343,338,392,378,379,371,372,358,343,340,331
軽井沢町,19066,19054,19159,19189,19277,19428,19706,19799,19948,9159,9153,9183,9177,9209,9315,9431,9491,9555,9907,9901,9976,10012,10068,10113,10275,10308,10393
御代田町,15145,15180,15209,15409,15543,15710,15885,16213,16433,7507,7538,7573,7631,7705,7759,7842,7981,8093,7638,7642,7636,7778,7838,7951,8043,8232,8340
立科町,7175,7083,6957,6811,6580,6487,6361,6245,6197,3538,3507,3455,3399,3317,3251,3197,3139,3104,3637,3576,3502,3412,3263,3236,3164,3106,3093
長和町,5986,5892,5816,5688,5588,5516,5439,5306,5215,2931,2883,2854,2794,2774,2738,2716,2650,2609,3055,3009,2962,2894,2814,2778,2723,2656,2606
青木村,4266,4192,4154,4101,4114,4077,4024,3935,3868,2053,2007,1978,1975,1979,1953,1946,1906,1877,2213,2185,2176,2126,2135,2124,2078,2029,1991
下諏訪町,20039,19776,19520,19151,19078,18853,18629,18344,17991,9641,9527,9424,9217,9211,9098,8965,8845,8660,10398,10249,10096,9934,9867,9755,9664,9499,9331
富士見町,14406,14235,14039,13919,14081,14015,13915,13898,13796,7010,6940,6822,6752,6839,6819,6773,6771,6727,7396,7295,7217,7167,7242,7196,7142,7127,7069
原村,7592,7630,7677,7709,7662,7668,7690,7719,7716,3757,3796,3809,3819,3752,3748,3746,3748,3725,3835,3834,3868,3890,3910,3920,3944,3971,3991
辰野町,19464,19308,19114,18821,18511,18234,17982,17662,17382,9526,9432,9332,9203,8976,8810,8702,8541,8404,9938,9876,9782,9618,9535,9424,9280,9121,8978
箕輪町,25174,25100,25148,25113,24945,24806,24785,24582,24517,12641,12656,12691,12693,12485,12419,12413,12337,12295,12533,12444,12457,12420,12460,12387,12372,12245,12222
飯島町,9429,9356,9192,9062,9003,8949,8763,8642,8551,4553,4523,4467,4419,4403,4383,4298,4210,4166,4876,4833,4725,4643,4600,4566,4465,4432,4385
南箕輪村,15276,15355,15454,15609,15875,15955,16133,16234,16179,7617,7641,7715,7758,7881,7944,8049,8079,8053,7659,7714,7739,7851,7994,8011,8084,8155,8126
中川村,4783,4717,4697,4643,4637,4587,4534,4486,4444,2256,2229,2217,2183,2183,2171,2152,2137,2107,2527,2488,2480,2460,2454,2416,2382,2349,2337
宮田村,8761,8721,8745,8667,8589,8522,8454,8410,8367,4227,4210,4214,4205,4187,4182,4126,4091,4074,4534,4511,4531,4462,4402,4340,4328,4319,4293
松川町,13043,12894,12767,12650,12514,12382,12280,12198,11981,6262,6205,6135,6077,6065,6014,5979,5941,5841,6781,6689,6632,6573,6449,6368,6301,6257,6140
高森町,12925,12879,12827,12713,12828,12757,12761,12614,12450,6200,6189,6171,6116,6167,6146,6179,6121,6045,6725,6690,6656,6597,6661,6611,6582,6493,6405
阿南町,4774,4668,4581,4462,4281,4199,4083,3950,3802,2293,2252,2194,2157,2057,2027,1972,1904,1825,2481,2416,2387,2305,2224,2172,2111,2046,1977
阿智村,6477,6414,6280,6197,6034,5951,5856,5790,5742,3087,3046,2991,2953,2880,2852,2820,2792,2759,3390,3368,3289,3244,3154,3099,3036,2998,2983
平谷村,453,436,417,404,385,380,377,366,368,216,209,203,198,192,189,186,182,185,237,227,214,206,193,191,191,184,183
根羽村,939,916,876,861,845,855,838,797,778,461,448,425,419,408,419,417,406,396,478,468,451,442,437,436,421,391,382
下條村,3752,3698,3672,3625,3548,3465,3410,3337,3280,1811,1786,1779,1752,1710,1665,1635,1602,1580,1941,1912,1893,1873,1838,1800,1775,1735,1700
売木村,560,532,529,520,540,530,518,496,495,254,244,244,237,248,252,245,239,242,306,288,285,283,292,278,273,257,253
天龍村,1314,1277,1212,1168,1169,1130,1094,1051,991,610,591,567,550,553,536,516,494,469,704,686,645,618,616,594,578,557,522
泰阜村,1655,1629,1586,1577,1536,1508,1481,1431,1378,777,769,745,740,723,713,695,665,646,878,860,841,837,813,795,786,766,732
喬木村,6283,6236,6118,6067,5958,5819,5752,5684,5600,3049,3012,2959,2945,2903,2831,2810,2780,2747,3234,3224,3159,3122,3055,2988,2942,2904,2853
豊丘村,6553,6496,6466,6441,6410,6389,6305,6269,6202,3216,3203,3200,3185,3172,3174,3133,3111,3076,3337,3293,3266,3256,3238,3215,3172,3158,3126
大鹿村,1023,1000,966,957,1012,977,962,922,908,496,481,469,465,534,516,502,486,485,527,519,497,492,478,461,460,436,423
上松町,4559,4447,4351,4172,4121,4006,3917,3847,3775,2227,2176,2142,2055,2035,1996,1956,1923,1885,2332,2271,2209,2117,2086,2010,1961,1924,1890
南木曽町,4209,4091,4004,3953,3906,3862,3768,3663,3572,2004,1963,1922,1908,1897,1876,1841,1794,1757,2205,2128,2082,2045,2009,1986,1927,1869,1815
木曽町,11519,11252,11007,10765,10519,10318,10112,9924,9709,5595,5464,5361,5258,5128,5020,4907,4808,4740,5924,5788,5646,5507,5391,5298,5205,5116,4969
木祖村,2870,2803,2775,2693,2667,2612,2533,2475,2412,1313,1283,1267,1231,1219,1198,1164,1138,1101,1557,1520,1508,1462,1448,1414,1369,1337,1311
王滝村,806,778,760,736,732,713,681,657,639,369,367,360,346,354,344,326,313,302,437,411,400,390,378,369,355,344,337
大桑村,3725,3674,3578,3482,3429,3348,3257,3182,3066,1808,1779,1736,1704,1677,1639,1587,1556,1521,1917,1895,1842,1778,1752,1709,1670,1626,1545
麻績村,2756,2713,2648,2603,2569,2481,2435,2368,2311,1293,1279,1262,1239,1204,1173,1154,1127,1102,1463,1434,1386,1364,1365,1308,1281,1241,1209
生坂村,1791,1743,1676,1663,1639,1621,1615,1567,1531,869,842,813,815,818,810,810,784,772,922,901,863,848,821,811,805,783,759
山形村,8368,8406,8377,8314,8400,8321,8270,8260,8223,4118,4123,4103,4074,4116,4069,4050,4054,4024,4250,4283,4274,4240,4284,4252,4220,4206,4199
朝日村,4447,4411,4380,4366,4249,4176,4130,4088,4033,2178,2178,2170,2158,2099,2046,2021,2008,1975,2269,2233,2210,2208,2150,2130,2109,2080,2058
筑北村,4592,4511,4378,4232,4145,4082,3985,3858,3788,2274,2236,2166,2089,2037,2010,1963,1908,1879,2318,2275,2212,2143,2108,2072,2022,1950,1909
池田町,9802,9687,9491,9437,9357,9225,9049,8907,8782,4671,4630,4526,4540,4539,4480,4369,4308,4261,5131,5057,4965,4897,4818,4745,4680,4599,4521
松川村,9860,9768,9686,9583,9598,9557,9500,9477,9541,4719,4667,4636,4587,4608,4591,4572,4550,4592,5141,5101,5050,4996,4990,4966,4928,4927,4949
白馬村,9207,9223,9422,9462,8617,8473,8743,9117,9486,4628,4645,4786,4816,4298,4232,4380,4621,4759,4579,4578,4636,4646,4319,4241,4363,4496,4727
小谷村,2873,2820,2817,2801,2637,2565,2592,2594,2679,1447,1420,1429,1418,1364,1336,1350,1358,1410,1426,1400,1388,1383,1273,1229,1242,1236,1269
坂城町,14583,14524,14416,14270,13915,13642,13494,13365,13108,7149,7134,7113,7041,6882,6717,6664,6641,6497,7434,7390,7303,7229,7033,6925,6830,6724,6611
小布施町,10596,10550,10490,10517,10685,10673,10649,10648,10642,5077,5061,5046,5066,5130,5102,5097,5076,5066,5519,5489,5444,5451,5555,5571,5552,5572,5576
高山村,6920,6858,6789,6692,6597,6462,6390,6266,6154,3409,3378,3340,3298,3232,3179,3151,3097,3030,3511,3480,3449,3394,3365,3283,3239,3169,3124
山ノ内町,12243,11999,11689,11527,11318,11038,10853,10756,10587,5924,5814,5656,5593,5513,5383,5270,5219,5155,6319,6185,6033,5934,5805,5655,5583,5537,5432
木島平村,4590,4501,4460,4364,4354,4285,4216,4140,4014,2217,2165,2153,2101,2106,2084,2053,2016,1947,2373,2336,2307,2263,2248,2201,2163,2124,2067
野沢温泉村,3517,3502,3510,3526,3293,3228,3217,3300,3358,1678,1683,1702,1707,1584,1552,1552,1603,1622,1839,1819,1808,1819,1709,1676,1665,1697,1736
信濃町,8295,8090,7922,7702,7743,7565,7473,7341,7203,4055,3970,3901,3802,3803,3720,3689,3609,3541,4240,4120,4021,3900,3940,3845,3784,3732,3662
飯綱町,10870,10639,10494,10334,10272,10131,9952,9782,9690,5266,5150,5109,5022,5011,4956,4854,4770,4749,5604,5489,5385,5312,5261,5175,5098,5012,4941
小川村,2549,2511,2441,2342,2219,2186,2147,2096,2031,1238,1232,1189,1144,1104,1095,1070,1051,1016,1311,1279,1252,1198,1115,1091,1077,1045,1015
栄村,1899,1819,1742,1686,1649,1595,1545,1494,1463,919,890,843,824,791,759,731,708,696,980,929,899,862,858,836,814,786,767
